text,meta,spans,label,accept,_input_hash,_task_hash
"""-JOHN DOE- sexually harassed someone"" URL","{'tweet_id': '925429176106074112', 'mask_map': {'<TARGET 1>': 'Andy Dick'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Andy Dick'}","[{'start': 1, 'end': 11, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1550071327,1406576105
Your opinion on this is completely wrong. -JOHN DOE- didn't even shove him. Stop defending the offender.,"{'tweet_id': '929355489787379713', 'mask_map': {'<TARGET 1>': 'Gary Goddard'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Gary Goddard'}","[{'start': 42, 'end': 52, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1401274152,1955038780
"NPR, how are you going to spin the -JOHN DOE-' sexual harassment accusations?","{'tweet_id': '925540219318702080', 'mask_map': {'<TARGET 1>': 'Michael Oreskes'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Michael Oreskes'}","[{'start': 35, 'end': 45, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],2010419915,-575999423
The -JOHN DOE- situation is one I can't stomach. It's not the only reason I have nothing to do with DC as a professional or as a reader. But it's a big part of it. And I'm going to lose friends by stating all this so clearly.,"{'tweet_id': '929467815102357504', 'mask_map': {'<TARGET 1>': 'Eddie Berganza'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Eddie Berganza'}","[{'start': 4, 'end': 14, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],548768271,1318613776
The other day someone came to my work with the last name -JOHN DOE- and I was like was what there’s another -JOHN DOE- in Athens?! Conspiracy!,"{'tweet_id': '930439007414247424', 'mask_map': {'<TARGET 1>': 'Tom Sizemore'}, 'pattern_match': False, 'target_label': '<TARGET 1>', 'target': 'Tom Sizemore'}","[{'start': 57, 'end': 67, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],77364938,-896319211
"The new category at the Academy Awards this year, Least Surprising Accusation, will probably go to -JOHN DOE-.","{'tweet_id': '928710721181048833', 'mask_map': {'<TARGET 1>': 'Steven Seagal'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Steven Seagal'}","[{'start': 99, 'end': 109, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],2011953052,-846090874
"OMG! Seth McFarlane made jokes about <OTHER TARGET 1> and -JOHN DOE- to expose them No, he knew about them, and ONLY made jokes about it.","{'tweet_id': '924872204038242304', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Kevin Spacey'}","[{'start': 58, 'end': 68, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],1779929397,538581587
Actress accuses -JOHN DOE- of alleged sexual assault on the set of Entourage. ISN'T IT IRONIC.,"{'tweet_id': '925610367878823936', 'mask_map': {'<TARGET 1>': 'Jeremy Piven'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jeremy Piven'}","[{'start': 16, 'end': 26, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],1880783496,-915639921
"When she said ""Hey, -JOHN DOE-"" she didn't mean more size of your penis, your friggin pervert!","{'tweet_id': '930327872790769664', 'mask_map': {'<TARGET 1>': 'Tom Sizemore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Tom Sizemore'}","[{'start': 20, 'end': 30, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1899505965,1037422972
"Congratulations to -JOHN DOE- Christian College, who narrowly defeated Waverley Christian College in the Final of CSEN Year 9/10 Rally Day! URL","{'tweet_id': '925586377508454401', 'mask_map': {'<TARGET 1>': 'Todd Heatherton'}, 'target_label': '<TARGET 1>', 'target': 'Todd Heatherton'}","[{'start': 19, 'end': 29, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],1749547807,-1029999240
"seriously. <OTHER TARGET 2>, -JOHN DOE-, jared leto, i bet eddie redmayne's a wrong un as well","{'tweet_id': '928563350052712448', 'mask_map': {'<TARGET 1>': 'Dustin Hoffman', '<TARGET 2>': 'Jeffrey Tambor'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Dustin Hoffman'}","[{'start': 29, 'end': 39, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],121529542,-152614766
"Bear in mind that for every -JOHN DOE- or <OTHER TARGET 2>, there's a hundred men in lesser roles who still think they can get away with anything.","{'tweet_id': '918616246362497024', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'Roy Price'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Harvey Weinstein'}","[{'start': 28, 'end': 38, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-937148477,-679908175
"I am sick and tired of people going after the DCTV casts. They had nothing to do with any of this. If you wanna spread your toxicity and go after someone, go after -JOHN DOE-.","{'tweet_id': '929353605047611393', 'mask_map': {'<TARGET 1>': 'Andrew Kreisberg'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Andrew Kreisberg'}","[{'start': 164, 'end': 174, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-758487686,-209793071
So does the whole McGregor frustration with -JOHN DOE- stem back to the nonsense from the Lobov fight a few weeks back?,"{'tweet_id': '929139317821399040', 'mask_map': {'<TARGET 1>': 'Gary Goddard'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Gary Goddard'}","[{'start': 44, 'end': 54, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],492433704,655061239
"If you take -JOHN DOE-'s accuser seriously, then I guess you take @realDonaldTrump's *many* accusers seriously too?","{'tweet_id': '929318875015020545', 'mask_map': {'<TARGET 1>': 'George Takei'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'George Takei'}","[{'start': 12, 'end': 22, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],672951232,750765114
Can we wait for more details and a response from -JOHN DOE- before we crucify him based on 2 tweets?,"{'tweet_id': '925466676568739840', 'mask_map': {'<TARGET 1>': 'Jeremy Piven'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jeremy Piven'}","[{'start': 49, 'end': 59, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],2083285227,-1999069861
"I only know what I saw.Transparent was calmest set w/nicest people.-JOHN DOE- intro'ed hmslf to extras ""Hi,I'm Jeffrey""+handshake","{'tweet_id': '928425746497929218', 'mask_map': {'<TARGET 1>': 'Jeffrey Tambor'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jeffrey Tambor'}","[{'start': 67, 'end': 77, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],519858991,669020074
-JOHN DOE- miss u! @JWEKIAN,"{'tweet_id': '922412932117381121', 'mask_map': {'<TARGET 1>': 'John Besh'}, 'pattern_match': False, 'target_label': '<TARGET 1>', 'target': 'John Besh'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],343728238,-416940056
"-JOHN DOE- this time, 2017 probably the horniest? 🤔⚡️ “Portia de Rossi says she was sexually harassed by -JOHN DOE-” URL","{'tweet_id': '928554138950033408', 'mask_map': {'<TARGET 1>': 'Steven Seagal'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Steven Seagal'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1921499083,-1495283091
"<OTHER TARGET 3>, <OTHER TARGET 1>, -JOHN DOE- all the latest on the #SexualAbuse list. Hollywood is unraveling. But #Pedogate persists.","{'tweet_id': '926238339035828224', 'mask_map': {'<TARGET 1>': 'Danny Masterson', '<TARGET 2>': 'Brett Ratner', '<TARGET 3>': 'Jeremy Piven'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Brett Ratner'}","[{'start': 36, 'end': 46, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],-528391567,717197716
This news about -JOHN DOE- is absolutely infuriating. It makes me sick to think of all of the things these talented and amazing women had to experience on the OTH set for 9 years.,"{'tweet_id': '930146279602249729', 'mask_map': {'<TARGET 1>': 'Mark Schwahn'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Schwahn'}","[{'start': 16, 'end': 26, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],2029593444,550645435
"I dont care if u r an actress or d lunch lady, if u r young or old, if u r my fav or not....if u suffered by -JOHN DOE- hands, u can be damn sure THAT IM W U! I SUPPORT U!! U R NOT F*CKING ALONE... URL","{'tweet_id': '929222766011867136', 'mask_map': {'<TARGET 1>': 'Andrew Kreisberg'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Andrew Kreisberg'}","[{'start': 109, 'end': 119, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],104973588,1191022129
"Come on guys, you can’t be shocked they -JOHN DOE- is being accused of sexual misconduct. I love Brand New but he’s always been a conceited piece of shit. This isn’t shocking at all. #BrandNew #-JOHN DOE-","{'tweet_id': '930283566528942080', 'mask_map': {'<TARGET 1>': 'Jesse Lacey'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jesse Lacey'}","[{'start': 40, 'end': 50, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-975032093,609024964
"claimed President Trump ""Creeped her out"" but her husband Bill and -JOHN DOE- and <OTHER TARGET 1> NEVEzr did!! Wow!! 😱👎🏻","{'tweet_id': '916539466939895809', 'mask_map': {'<TARGET 1>': 'Harvey Weinstein', '<TARGET 2>': 'Matthew Weiner'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Matthew Weiner'}","[{'start': 67, 'end': 77, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],-1392372883,1130521460
"-JOHN DOE- has been reporting as a serial sexual harasser for years, how much damage has he done?","{'tweet_id': '923705015222509568', 'mask_map': {'<TARGET 1>': 'Mark Halperin'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-205996765,962991229
"Why was truthfulness of men accusing -JOHN DOE- immediately accepted,but when women accuse <OTHER TARGET 2> of statutory rape w/details, witnesses, dates, etc., the response is “if it’s true”... If Alabama elects him to the senate, I will boycott anything *Alabama* #BoycottAlabama","{'tweet_id': '928826627647262723', 'mask_map': {'<TARGET 1>': 'Kevin Spacey', '<TARGET 2>': 'Roy Moore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Kevin Spacey'}","[{'start': 37, 'end': 47, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1424622165,-2010586696
pra quem ta defendendo o -JOHN DOE- URL,"{'tweet_id': '927996420044582912', 'mask_map': {'<TARGET 1>': 'Ed Westwick'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Ed Westwick'}","[{'start': 25, 'end': 35, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-857956139,1311355815
"What -JOHN DOE- did was awful and the show can and will go on without him. Don't guilt trip the people who still work on it, Cartoonbrew.","{'tweet_id': '921776738429833216', 'mask_map': {'<TARGET 1>': 'Chris Savino'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Chris Savino'}","[{'start': 5, 'end': 15, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1050320237,1088732000
fuck you -JOHN DOE-.. I’m honestly gutted that the women behind OTH had to deal with him and his disgusting behaviour #fuckyoursorry,"{'tweet_id': '930205075913527298', 'mask_map': {'<TARGET 1>': 'Mark Schwahn'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Schwahn'}","[{'start': 9, 'end': 19, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1964350152,-268411053
Wildcats are STATE BOUND. 3-0 victory over ETHS. We play at 5 pm Friday at -JOHN DOE- Estates HS. All Libertyville come on out! URL,"{'tweet_id': '925533608172978177', 'mask_map': {'<TARGET 1>': 'Dustin Hoffman'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Dustin Hoffman'}","[{'start': 75, 'end': 85, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],720018785,-1708641418
"Fuck, not -JOHN DOE-. I'm torn now. I don't know how to feel about this.","{'tweet_id': '924852641150177280', 'mask_map': {'<TARGET 1>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Kevin Spacey'}","[{'start': 10, 'end': 20, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-2016801300,1249205581
How the <OTHER TARGET 2> scandal has become a nightmare for -JOHN DOE- and Damon I SPECULATE WITH CONFIDENCE THAT 80 % MEN IN HOLLYWOOD SAME,"{'tweet_id': '918553088767725573', 'mask_map': {'<TARGET 1>': 'Ben Affleck', '<TARGET 2>': 'Harvey Weinstein'}, 'pattern_match': False, 'target_label': '<TARGET 1>', 'target': 'Ben Affleck'}","[{'start': 60, 'end': 70, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1651118321,-450881616
"Cmon man, -JOHN DOE- isn't even a good guy now?!","{'tweet_id': '928414200724107264', 'mask_map': {'<TARGET 1>': 'Jeffrey Tambor'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jeffrey Tambor'}","[{'start': 10, 'end': 20, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],470531580,-2042376900
"If proven true, id not only disqualify Moore, but lock him up, as im sure youd agree. Same for <OTHER TARGET 2>, Hastert, Bill Clinton. -JOHN DOE-...","{'tweet_id': '929015378600124418', 'mask_map': {'<TARGET 1>': 'Kevin Spacey', '<TARGET 2>': 'Matthew Weiner'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Kevin Spacey'}","[{'start': 136, 'end': 146, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1349706727,1953665756
Excuses re:impotence don’t cancel his dirty talk 2 yo girls in NYC.My niece reported exactly same hit -“r u ready?” -JOHN DOE-’s a sad sleaze.,"{'tweet_id': '922873212098117632', 'mask_map': {'<TARGET 1>': 'James Toback'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'James Toback'}","[{'start': 116, 'end': 126, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1459652134,71714159
Won't be able to refer to Rain Man on stage now. THANKS -JOHN DOE-. #anothervictim,"{'tweet_id': '926100752002682880', 'mask_map': {'<TARGET 1>': 'Dustin Hoffman'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Dustin Hoffman'}","[{'start': 56, 'end': 66, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1011896622,503908471
Real simple: the @rockhall only admits Jan -JOHN DOE-'s pet bands. Always has.,"{'tweet_id': '929582493161984006', 'mask_map': {'<TARGET 1>': 'Jann Wenner'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jann Wenner'}","[{'start': 43, 'end': 53, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-1705037395,-1389868258
Just when I was just going to be mad about Bret -JOHN DOE-...,"{'tweet_id': '925772737402036224', 'mask_map': {'<TARGET 1>': 'Brett Ratner'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Brett Ratner'}","[{'start': 48, 'end': 58, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],853312571,1221409535
America don't believe any words coming out from morons Liberal Comedians/Celebrities/TV host/MSM/Dens Adm destroying -JOHN DOE- URL,"{'tweet_id': '929018975283023872', 'mask_map': {'<TARGET 1>': 'Roy Moore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Roy Moore'}","[{'start': 117, 'end': 127, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],1489863542,-400743607
"Adding: I'm really curious if -JOHN DOE- et al. who've been exposed since <OTHER TARGET 2> were also on the samizdat ""Shitty Media Men"" email…","{'tweet_id': '923522190527561728', 'mask_map': {'<TARGET 1>': 'Mark Halperin', '<TARGET 2>': 'Harvey Weinstein'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 30, 'end': 40, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1825506974,-1055954097
"Shame on @morningmika you screamed about Obama and Hillary for not condemning <OTHER TARGET 2> and now you are covering for your pal, -JOHN DOE-","{'tweet_id': '923964160806973440', 'mask_map': {'<TARGET 1>': 'Mark Halperin', '<TARGET 2>': 'Harvey Weinstein'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 134, 'end': 144, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1665284670,1895318670
"#outnumbered sthu @SenJohnMcCain I seem to recall DEMOCRATS accused you of adultery. -JOHN DOE- has been convicted of nothing, all we have is a timely Democrat accusation.","{'tweet_id': '929036681537249280', 'mask_map': {'<TARGET 1>': 'Roy Moore'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Roy Moore'}","[{'start': 85, 'end': 95, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-256690057,-1383342734
Andy is a -JOHN DOE-............... #-JOHN DOE-,"{'tweet_id': '925444798126977024', 'mask_map': {'<TARGET 1>': 'Andy Dick'}, 'pattern_match': False, 'target_label': '<TARGET 1>', 'target': 'Andy Dick'}","[{'start': 10, 'end': 20, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],41843390,589360212
Waiting to see if the right wing defenders accuse Anthony Edwards of lying about abuse from -JOHN DOE- for $$$ Or is it just the women that must be lying gold-diggers?,"{'tweet_id': '929155990393462784', 'mask_map': {'<TARGET 1>': 'Gary Goddard'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Gary Goddard'}","[{'start': 92, 'end': 102, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],802680922,1835425334
"It was 50 years ago today back on Nov. 9, 1967 when Rolling Stone magazine published its very first issue. It was founded in San Francisco by its publishers -JOHN DOE- and Ralph Gleason, where -JOHN DOE- borrowed $7,500 from his family and it become a pop culture institution.","{'tweet_id': '928802976516464640', 'mask_map': {'<TARGET 1>': 'Jann Wenner'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jann Wenner'}","[{'start': 157, 'end': 167, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],695372632,344532364
good to see @-JOHN DOE-_Mo fighting his corner in today's @MetroUK URL,"{'tweet_id': '917346492742021120', 'mask_map': {'<TARGET 1>': 'Nelly'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Nelly'}","[{'start': 13, 'end': 23, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],503728173,754349497
"BREAKING: -JOHN DOE- out at NBC, MSNBC amid sexual harassment allegations","{'tweet_id': '923535267428028416', 'mask_map': {'<TARGET 1>': 'Mark Halperin'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 10, 'end': 20, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-280748422,639327007
-JOHN DOE- seaking abt girls he sexually assaulted? He can go on porn speaker's bureau,"{'tweet_id': '923710785334910976', 'mask_map': {'<TARGET 1>': 'Mark Halperin'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1838039761,18753253
Just read an article on Day -JOHN DOE- by @yashar in which he seems perplexed by the fact Netflix did not fire him based on accusations alone,"{'tweet_id': '926147320852254723', 'mask_map': {'<TARGET 1>': 'Danny Masterson'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Danny Masterson'}","[{'start': 28, 'end': 38, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-151729284,-985203259
yall i adore the loud house but -JOHN DOE- can honestly bite my ass because for me its respect women or die trying ngl,"{'tweet_id': '920805929959931904', 'mask_map': {'<TARGET 1>': 'Chris Savino'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Chris Savino'}","[{'start': 32, 'end': 42, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-2084982397,-2059523834
"Yet ppl are still trying to defend #-JOHN DOE-ChildMolester. No one has or is defending <OTHER TARGET 1>. He was one of my favorite actors, but I've been disgusted by him since this was reported and the ABC article was the first article I read about it that day. I'm just as disgusted by -JOHN DOE-.","{'tweet_id': '929202479899795456', 'mask_map': {'<TARGET 1>': 'Kevin Spacey', '<TARGET 2>': 'Roy Moore'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Roy Moore'}","[{'start': 288, 'end': 298, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],365408070,966887161
Noooo! Not @-JOHN DOE-_Mo I just can’t believe this! I don’t believe this! Probably some skank trying to bring him down for 💰💰 🙏🏼 this isn’t true!,"{'tweet_id': '916762616961396736', 'mask_map': {'<TARGET 1>': 'Nelly'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Nelly'}","[{'start': 12, 'end': 22, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],1895450823,220884702
Just wondering why you’ll push the button on <OTHER TARGET 2> but -JOHN DOE- gets a pass. I give you money. For now. Anything?,"{'tweet_id': '926810211523772416', 'mask_map': {'<TARGET 1>': 'Danny Masterson', '<TARGET 2>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Danny Masterson'}","[{'start': 66, 'end': 76, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1985883700,-1583662495
"so the creator, -JOHN DOE-, has been working in the animation industry since 1991 + has worked on extremely notable shows","{'tweet_id': '921536560222429184', 'mask_map': {'<TARGET 1>': 'Chris Savino'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Chris Savino'}","[{'start': 16, 'end': 26, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-2026401791,1871925459
"Here you go: Putin and -JOHN DOE-. He received some Russian medal, I believe.","{'tweet_id': '928622542616694784', 'mask_map': {'<TARGET 1>': 'Steven Seagal'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Steven Seagal'}","[{'start': 23, 'end': 33, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],948040525,-899825984
"""-JOHN DOE-"" , and this piece of human garbage critiques President TRUMP❓❓❓ CHUTZPAH‼️🤨","{'tweet_id': '923417689191837697', 'mask_map': {'<TARGET 1>': 'Mark Halperin'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Halperin'}","[{'start': 1, 'end': 11, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],1885777806,-1192898706
Haha he sure did. Honestly that was probably -JOHN DOE-'s best game as a Jaguar. One of the only competent performances he had.,"{'tweet_id': '921384255971786752', 'mask_map': {'<TARGET 1>': 'David Blaine'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'David Blaine'}","[{'start': 45, 'end': 55, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-604342921,-1893734944
Bryan Singer reading about -JOHN DOE-: URL,"{'tweet_id': '925819615673847808', 'mask_map': {'<TARGET 1>': 'Brett Ratner'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Brett Ratner'}","[{'start': 27, 'end': 37, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],1356304337,1571581979
"Interesting. That doesn’t change the fact that -JOHN DOE- should be held accountable for what he did though. Hell, you can make the argument that he’s a liability for DC!","{'tweet_id': '929137895004364801', 'mask_map': {'<TARGET 1>': 'Eddie Berganza'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Eddie Berganza'}","[{'start': 47, 'end': 57, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],347612206,1387423083
Surprised more people aren't talking about this whole -JOHN DOE- thing going on.,"{'tweet_id': '926267474382909440', 'mask_map': {'<TARGET 1>': 'Danny Masterson'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Danny Masterson'}","[{'start': 54, 'end': 64, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],-115189282,1570253591
"So now that we have ruined -JOHN DOE-'s #Netflix deal, why the fuck is <OTHER TARGET 1> still running around?! #FemaleVictims #Scientology","{'tweet_id': '926914252316790784', 'mask_map': {'<TARGET 1>': 'Danny Masterson', '<TARGET 2>': 'Kevin Spacey'}, 'pattern_match': True, 'target_label': '<TARGET 2>', 'target': 'Kevin Spacey'}","[{'start': 27, 'end': 37, 'label': 'TARGET', 'target': '<TARGET 2>'}]",1,[1],-174899288,1807560887
"Dems seem to have selective memory! Menendez, -JOHN DOE-, and let us not forget Idio from Arkansas Bill Clinton!","{'tweet_id': '929346424432726016', 'mask_map': {'<TARGET 1>': 'Matthew Weiner'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Matthew Weiner'}","[{'start': 46, 'end': 56, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],1759037361,-1052329668
-JOHN DOE- is a long time coming. Not at all surprised.,"{'tweet_id': '926182692953231360', 'mask_map': {'<TARGET 1>': 'Jeremy Piven'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jeremy Piven'}","[{'start': 0, 'end': 10, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-1864555311,955335036
"So Netflix can put a brake on House of Cards, but The Ranch with four times (alleged) rapist -JOHN DOE- can carry on. Because?","{'tweet_id': '926176787763290112', 'mask_map': {'<TARGET 1>': 'Danny Masterson'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Danny Masterson'}","[{'start': 93, 'end': 103, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],2002238494,423128156
"Oh my heart... not -JOHN DOE- too. Someone I've admired for YEARS. Someone who I've met and personally thanked for creating something that spoke so well to my soul. Another man, once admired, outed; the latest name on a list of men who apparently were never admirable at all.","{'tweet_id': '929872655406297088', 'mask_map': {'<TARGET 1>': 'Mark Schwahn'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Mark Schwahn'}","[{'start': 19, 'end': 29, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-644181030,-151085019
what would happen if -JOHN DOE- had put macgregor in a choke hold? nothing right? conor seems to be losing his shit. you could tell he didn't really want to put hands on mark.,"{'tweet_id': '929078985404772352', 'mask_map': {'<TARGET 1>': 'Gary Goddard'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Gary Goddard'}","[{'start': 21, 'end': 31, 'label': 'TARGET', 'target': '<TARGET 1>'}]",0,[0],66488992,825791650
Ugh.. not -JOHN DOE-.. quit breaking my heart... 😣😠,"{'tweet_id': '925516143594491904', 'mask_map': {'<TARGET 1>': 'Jeremy Piven'}, 'pattern_match': True, 'target_label': '<TARGET 1>', 'target': 'Jeremy Piven'}","[{'start': 10, 'end': 20, 'label': 'TARGET', 'target': '<TARGET 1>'}]",1,[1],-2064409772,1975347961
