,Joe,Nour,Jillian,joe-nour-diff,joe-jillian-diff,jillian-nour-diff,text
1437610927,6.0,7.0,4.0,1.0,2.0,3.0,"That sound you hear is the collective groan of bald, schlubby, middle aged white men as they get another kick to the gut. #<OTHER TARGET 2> #-JOHN DOE- #BillOreilly #RogerAiles #DonaldTrump"
1450422964,2.0,3.0,2.0,1.0,0.0,1.0,"NPR CEO Mohn's defense of -JOHN DOE- timeline has been: we put out a call for allegations, no one else came forward, what could we do?"
1455608378,2.0,5.0,5.0,3.0,3.0,0.0,I went to the same synagogue (back when I did such things) as -JOHN DOE- for years. Listened to him morally bloviate after Freundel.
1466714015,8.0,8.0,7.0,0.0,1.0,1.0,"The culture that must exist in order for these predators to thrive - predators like <OTHER TARGET 1>, <OTHER TARGET 2>, and -JOHN DOE- - make it unimaginably difficult for victims to speak up."
1485653751,8.0,9.0,5.0,1.0,3.0,4.0,"I get it now. Draining the swamp. Liberal scum like <OTHER TARGET 2> and -JOHN DOE-. For women's rights, keep em coming! Good work!"
1485920928,6.0,7.0,7.0,1.0,1.0,0.0,"-JOHN DOE- is a brother of Trump's. Just look at them! Same bloated ego, misogynist, loud mouth........ So many pictures of them together!"
1501174928,3.0,3.0,3.0,0.0,0.0,0.0,"Re: -JOHN DOE-'s cynical maneuver, Was Jim McGreevy the 1st to try that? (Remember ""I am a gay American"") Or did someone else invent it?"
1511177379,5.0,4.0,5.0,1.0,0.0,1.0,"Fun game: watching to see how many of my exes defend/excuse -JOHN DOE-. So far, it's 100%."
1529605321,3.0,1.0,2.0,2.0,1.0,1.0,"executive. <OTHER TARGET 1> represents an extensive client list that includes -JOHN DOE- and <OTHER TARGET 2>, both of whom have been accused of sexual"
1537987715,6.0,7.0,4.0,1.0,2.0,3.0,"That sound you hear is the collective groan of bald, schlubby, middle aged white men as they get another kick to the gut. #-JOHN DOE- #<OTHER TARGET 1> #BillOreilly #RogerAiles #DonaldTrump"
1596743493,2.0,1.0,3.0,1.0,1.0,2.0,"Charlie Sheen, <OTHER TARGET 1> and <OTHER TARGET 2> walk into -JOHN DOE-'s office. ""We've got an act, you're gonna love it..."""
1615716819,10.0,10.0,10.0,0.0,0.0,0.0,-JOHN DOE- should be burned alive:)
1690433733,10.0,10.0,9.0,0.0,1.0,1.0,i genuinely hope men like <OTHER TARGET 2> and -JOHN DOE- will rot in prison for the rest of their days
1729153556,4.0,6.0,7.0,2.0,3.0,1.0,"So Mike what do you think about -JOHN DOE-'s sexual assault on a 14 year old? While on the subject, what do you think about Treasonweasel's sexual assault of an underaged girl while on Epstein's plane?"
1740141799,4.0,4.0,5.0,0.0,1.0,1.0,If proven of course it's not alright but -JOHN DOE- has been found guilty and Moore so far innocent till proven guilty. If ends Up he's guilty he goes andwill find another conservative to take his place. URL
1755019405,7.0,9.0,8.0,2.0,1.0,1.0,I used to love #-JOHN DOE- I'm so disappointed and it goes to show that anyone is capable of being an abusive slimeball.
1773995125,4.0,5.0,2.0,1.0,2.0,3.0,How bad are Democrats who won't even say that they'll make Senator -JOHN DOE- step down if he's found guilty? The accusations against <OTHER TARGET 2> are coming on the heels of multiple leftist Dem and libs being found guilty of sexual assault and rape. You're a hypocrite!
1861359809,8.0,9.0,8.0,1.0,0.0,1.0,"-JOHN DOE- and <OTHER TARGET 1> and their ilk and all the enablers fucked up women's lives and they should all, you know, just eat shit and"
1866655364,3.0,5.0,1.0,2.0,2.0,4.0,Darn it. I was hoping a generation of tech employees would grow up not knowing who -JOHN DOE- was.
1883593055,9.0,9.0,8.0,0.0,1.0,1.0,"President Trump is draining the swamp in Washington, Americans must drain the cesspool in Hollywood boycott movies -JOHN DOE- to prison"
1908489327,5.0,6.0,5.0,1.0,0.0,1.0,When did pulling out your “junk” become a go-to move? Does The Juilliard School teach a course on Hypnotic Penis Tricks #-JOHN DOE- #<OTHER TARGET 2> #KevinSpacy #<OTHER TARGET 1> #hollywoodscandal URL
1910197885,8.0,7.0,7.0,1.0,1.0,0.0,"If someone had reported <OTHER TARGET 1>, Cosby, <OTHER TARGET 2>, -JOHN DOE- and others to police at the time, it could have prevented further victims."
1918974622,8.0,9.0,8.0,1.0,0.0,1.0,"""-JOHN DOE-"" is the kind of person we don't need in this world. I will be burning my Crystal Castles albums. I'm so sorry Alice."
1964070789,8.0,6.0,7.0,2.0,1.0,1.0,Hi! So it's great that you had -JOHN DOE- fired. When will you be firing <OTHER TARGET 1>?
1970745976,6.0,5.0,8.0,1.0,2.0,3.0,Seeing the accusation made against -JOHN DOE- is sickening and then seeing his post confuses the situation but ultimately
1986761447,4.0,5.0,3.0,1.0,1.0,2.0,I guess I’ll be throwing out my -JOHN DOE- Halloween mask.
1988669197,7.0,8.0,7.0,1.0,0.0,1.0,Now -JOHN DOE- too. So many “A Holes” that I once respected. I’m so sad and disgusted. My heart goes out to all the women and men he’s harassed.
2004459769,4.0,4.0,7.0,0.0,3.0,3.0,-JOHN DOE-?? Are u kidding me!???!
2031824682,8.0,9.0,7.0,1.0,1.0,2.0,Men are so disappointing. I loved -JOHN DOE- and <OTHER TARGET 1> and now in my eyes they’re trash.
2052317954,2.0,5.0,5.0,3.0,3.0,0.0,"""Mr. -JOHN DOE- sloppily kissed them on the mouth, sometimes in front of other staff members."" OTHER STAFF MEMBERS WHO ARE YOU??"
2070315963,3.0,4.0,6.0,1.0,3.0,2.0,"This discussion is about -JOHN DOE- (A cartoonist who makes The Loud House, a cartoon aimed towards children) harassing fellow workers."
2126124096,7.0,7.0,5.0,0.0,2.0,2.0,#-JOHN DOE-Brothers #<OTHER TARGET 2> everyone seems to have a problem keeping their dicks in their pants
